"code","title","credential","earnings.4_yr.pell_median_earnings","earnings.4_yr.nonpell_median_earnings","earnings.4_yr.overall_median_earnings","earnings.4_yr.working_not_enrolled","earnings.5_yr","school.name","id"
"5004","Design and Applied Arts.",3,,,,,,"Design Institute of San Diego",113582
"2401","Liberal Arts and Sciences, General Studies and Humanities.",3,,,,,,"DHARMA REALM BUDDHIST UNIVERSITY",113616
"0999","Communication, Journalism, and Related Programs, Other.",3,,, 58005,,,"Dominican University of California",113698
"1102","Computer Programming.",3,,,,,,"Dominican University of California",113698
"1301","Education, General.",3,,,,,,"Dominican University of California",113698
"2301","English Language and Literature, General.",3,,,,,,"Dominican University of California",113698
"2313","Rhetoric and Composition/Writing Studies.",3,,,,,,"Dominican University of California",113698
"2401","Liberal Arts and Sciences, General Studies and Humanities.",3,,, 65780,,,"Dominican University of California",113698
"2601","Biology, General.",3,,, 75913,,    16,"Dominican University of California",113698
"2602","Biochemistry, Biophysics and Molecular Biology.",3,,,,,,"Dominican University of California",113698
"2613","Ecology, Evolution, Systematics, and Population Biology.",3,,,,,,"Dominican University of California",113698
"3000","Multi-/Interdisciplinary Studies, General.",3,,,,,,"Dominican University of California",113698
"3020","International/Globalization Studies.",3,,,,,,"Dominican University of California",113698
"4005","Chemistry.",3,,,,,,"Dominican University of California",113698
"4201","Psychology, General.",3,,, 61339,,,"Dominican University of California",113698
"4510","Political Science and Government.",3,,,,,,"Dominican University of California",113698
"4599","Social Sciences, Other.",3,,,,,,"Dominican University of California",113698
"5001","Visual and Performing Arts, General.",3,,,,,,"Dominican University of California",113698
"5003","Dance.",3,,,,,,"Dominican University of California",113698
"5004","Design and Applied Arts.",3,,,,,,"Dominican University of California",113698
"5007","Fine and Studio Arts.",3,,,,,,"Dominican University of California",113698
"5009","Music.",3,,,,,,"Dominican University of California",113698
"5100","Health Services/Allied Health/Health Sciences, General.",3,,, 82911,,    20,"Dominican University of California",113698
"5122","Public Health.",3,,,,,,"Dominican University of California",113698
"5138","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",3,130002,142079,149622,    41,    61,"Dominican University of California",113698
"5202","Business Administration, Management and Operations.",3,, 87433, 88913,,    24,"Dominican University of California",113698
"5401","History.",3,,,,,,"Dominican University of California",113698
"1909","Apparel and Textiles.",3,,, 67118,,,"FIDM-Fashion Institute of Design & Merchandising",114354
"5004","Design and Applied Arts.",3,,, 53575,,,"FIDM-Fashion Institute of Design & Merchandising",114354
"5005","Drama/Theatre Arts and Stagecraft.",3,,,,,,"FIDM-Fashion Institute of Design & Merchandising",114354
"5006","Film/Video and Photographic Arts.",3,,,,,,"FIDM-Fashion Institute of Design & Merchandising",114354
"5214","Marketing.",3,,,,,,"FIDM-Fashion Institute of Design & Merchandising",114354
"5299","Business, Management, Marketing, and Related Support Services, Other.",3, 49968, 51251, 64446,   172,   251,"FIDM-Fashion Institute of Design & Merchandising",114354
"0103","Agricultural Production Operations.",3,,,,,,"Feather River Community College District",114433
"5106","Dental Support Services and Allied Professions.",3,,, 82028,,,"Foothill College",114716
"0301","Natural Resources Conservation and Research.",3,,,,,,"Fresno Pacific University",114813
"0502","Ethnic, Cultural Minority, Gender, and Group Studies.",3,,,,,,"Fresno Pacific University",114813
"0901","Communication and Media Studies.",3,,,,,,"Fresno Pacific University",114813
"1312","Teacher Education and Professional Development, Specific Levels and Methods.",3, 48219,, 60338,    84,    93,"Fresno Pacific University",114813
"1313","Teacher Education and Professional Development, Specific Subject Areas.",3,,, 61005,,,"Fresno Pacific University",114813
"1512","Computer Engineering Technologies/Technicians.",3,,, 88542,,,"Fresno Pacific University",114813
"1609","Romance Languages, Literatures, and Linguistics.",3,,,,,,"Fresno Pacific University",114813
"1907","Human Development, Family Studies, and Related Services.",3, 39019,, 51756,    70,    76,"Fresno Pacific University",114813
"2200","Non-Professional Legal Studies.",3,,,,,,"Fresno Pacific University",114813
"2301","English Language and Literature, General.",3,,,,,,"Fresno Pacific University",114813
"2401","Liberal Arts and Sciences, General Studies and Humanities.",3,,,,,,"Fresno Pacific University",114813
"2601","Biology, General.",3,,,,,,"Fresno Pacific University",114813
"2609","Physiology, Pathology and Related Sciences.",3,,,,,,"Fresno Pacific University",114813
"2613","Ecology, Evolution, Systematics, and Population Biology.",3,,,,,,"Fresno Pacific University",114813
"2699","Biological and Biomedical Sciences, Other.",3,,,,,,"Fresno Pacific University",114813
"2701","Mathematics.",3,,,,,,"Fresno Pacific University",114813
"2703","Applied Mathematics.",3,,,,,,"Fresno Pacific University",114813
"3099","Multi/Interdisciplinary Studies, Other.",3,,,,,,"Fresno Pacific University",114813
"3105","Sports, Kinesiology, and Physical Education/Fitness.",3,,, 51624,,,"Fresno Pacific University",114813
"3801","Philosophy.",3,,,,,,"Fresno Pacific University",114813
"3902","Bible/Biblical Studies.",3,,, 51475,,,"Fresno Pacific University",114813
"4005","Chemistry.",3,,,,,,"Fresno Pacific University",114813
"4201","Psychology, General.",3, 43263,, 52695,    20,    28,"Fresno Pacific University",114813
"4301","Criminal Justice and Corrections.",3,,,,,,"Fresno Pacific University",114813
"4304","Security Science and Technology.",3,,,,,,"Fresno Pacific University",114813
"4407","Social Work.",3,,, 61951,,,"Fresno Pacific University",114813
"4504","Criminology.",3,,,,,,"Fresno Pacific University",114813
"4509","International Relations and National Security Studies.",3,,,,,,"Fresno Pacific University",114813
"4510","Political Science and Government.",3,,,,,,"Fresno Pacific University",114813
"4511","Sociology.",3,,,,,,"Fresno Pacific University",114813
"5004","Design and Applied Arts.",3,,,,,,"Fresno Pacific University",114813
"5005","Drama/Theatre Arts and Stagecraft.",3,,,,,,"Fresno Pacific University",114813
"5007","Fine and Studio Arts.",3,,,,,,"Fresno Pacific University",114813
"5009","Music.",3,,,,,,"Fresno Pacific University",114813
"5107","Health and Medical Administrative Services.",3,,, 66778,,,"Fresno Pacific University",114813
"5109","Allied Health Diagnostic, Intervention, and Treatment Professions.",3,,,,,,"Fresno Pacific University",114813
"5111","Health/Medical Preparatory Programs.",3,,,,,,"Fresno Pacific University",114813
"5123","Rehabilitation and Therapeutic Professions.",3,,,,,,"Fresno Pacific University",114813
"5138","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",3,,,112178,,,"Fresno Pacific University",114813
"5202","Business Administration, Management and Operations.",3, 59684,, 70983,    73,    90,"Fresno Pacific University",114813
"5203","Accounting and Related Services.",3,,,,,,"Fresno Pacific University",114813
"5210","Human Resources Management and Services.",3, 53311,, 74265,    72,    88,"Fresno Pacific University",114813
"5214","Marketing.",3,,,,,,"Fresno Pacific University",114813
"5401","History.",3,,,,,,"Fresno Pacific University",114813
"1513","Drafting/Design Engineering Technologies/Technicians.",3,,,,,,"Glendale Community College",115001
"5138","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",3,,,,,,"Glendale Career College",115010
"1104","Information Science/Studies.",3,,,,,,"Golden Gate University",115083
"1199","Computer and Information Sciences and Support Services, Other.",3,,,,,,"Golden Gate University",115083
"2202","Legal Research and Advanced Professional Studies.",3,,,,,,"Golden Gate University",115083
"3071","Data Analytics.",3,,,,,,"Golden Gate University",115083
"4201","Psychology, General.",3,,,,,,"Golden Gate University",115083
"4228","Clinical, Counseling and Applied Psychology.",3,,,,,,"Golden Gate University",115083
"4404","Public Administration.",3,,,,,,"Golden Gate University",115083
"5202","Business Administration, Management and Operations.",3, 82352, 93158, 91369,    63,   107,"Golden Gate University",115083
"5203","Accounting and Related Services.",3,,,,,,"Golden Gate University",115083
"5208","Finance and Financial Management Services.",3,,,,,,"Golden Gate University",115083
"5210","Human Resources Management and Services.",3,,,,,,"Golden Gate University",115083
"5211","International Business.",3,,,,,,"Golden Gate University",115083
"5213","Management Sciences and Quantitative Methods.",3,,,,,,"Golden Gate University",115083
"5214","Marketing.",3,,,,,,"Golden Gate University",115083
"5221","Telecommunications Management.",3,,,,,,"Golden Gate University",115083
"0301","Natural Resources Conservation and Research.",3,,,,,,"Harvey Mudd College",115409
"0901","Communication and Media Studies.",3,,,,,,"Harvey Mudd College",115409
"1107","Computer Science.",3,,183759,198257,,    38,"Harvey Mudd College",115409
"1401","Engineering, General.",3,101250,107126,122845,    16,    39,"Harvey Mudd College",115409
"1601","Linguistic, Comparative, and Related Language Studies and Services.",3,,,,,,"Harvey Mudd College",115409
"1605","Germanic Languages, Literatures, and Linguistics.",3,,,,,,"Harvey Mudd College",115409
"1609","Romance Languages, Literatures, and Linguistics.",3,,,,,,"Harvey Mudd College",115409
"1612","Classics and Classical Languages, Literatures, and Linguistics.",3,,,,,,"Harvey Mudd College",115409
"2401","Liberal Arts and Sciences, General Studies and Humanities.",3,,,,,,"Harvey Mudd College",115409
"2601","Biology, General.",3,,,,,,"Harvey Mudd College",115409
"2602","Biochemistry, Biophysics and Molecular Biology.",3,,,,,,"Harvey Mudd College",115409
"2611","Biomathematics, Bioinformatics, and Computational Biology.",3,,,,,,"Harvey Mudd College",115409
"2701","Mathematics.",3,,,,,,"Harvey Mudd College",115409
"3008","Mathematics and Computer Science.",3,,,,,,"Harvey Mudd College",115409
"3015","Science, Technology and Society.",3,,,,,,"Harvey Mudd College",115409
"3099","Multi/Interdisciplinary Studies, Other.",3,,,,,,"Harvey Mudd College",115409
"3801","Philosophy.",3,,,,,,"Harvey Mudd College",115409
"3802","Religion/Religious Studies.",3,,,,,,"Harvey Mudd College",115409
