Institution,Average Base Salary,Average Signing Bonus,Employment Rate (90 Days)
University of Pennsylvania (Wharton),112030,10493,97.0%
Georgetown University (McDonough),102780,9996,97.3%
New York University (Stern),99555,Not Disclosed,95.0%
Cornell University (Dyson),98943,Not Disclosed,Not Disclosed
University of Michigan (Ross),94909,Not Disclosed,89.1%
University of Virginia (McIntire),94747,Not Disclosed,95.0%
Washington University in St. Louis (Olin),93536,Not Disclosed,95.0%
Carnegie Mellon University (Tepper),92170,Not Disclosed,Not Disclosed
University of Notre Dame (Mendoza),91440,Not Disclosed,97.0%
University of Southern California (Marshall),91340,Not Disclosed,Not Disclosed
Wake Forest University,88203,8245,98.7%
Emory University (Goizueta),87749,9921,97.8%
University of North Carolina (Kenan-Flagler),87212,8728,96.0%
Villanova University,86083,8330,95.5%
Southern Methodist University (Cox),85463,9621,90.5%
College of William & Mary (Mason),84963,8293,93.9%
Lehigh University,83495,Not Disclosed,90.0%
Georgia Institute of Technology (Scheller),82722,9003,94.1%
Fordham University (Gabelli),82568,Not Disclosed,98.0%
University of Washington (Foster),82357,10768,Not Disclosed
Northeastern University (D'Amore-McKim),82064,10526,91.7%
University of Richmond (Robins),81263,7540,100.0%
Bucknell University (Freeman),80576,7723,83.9%
Indiana University (Kelley),80465,Not Disclosed,86.0%
University of Miami (Herbert),79161,8267,97.9%
Rutgers University (New Brunswick),78746,10301,Not Disclosed
Boston University (Questrom),78026,8374,97.0%
University of Illinois Urbana-Champaign (Gies),76742,Not Disclosed,96.0%
University of San Diego (Knauss),74552,6579,89.8%
Fairfield University (Dolan),73828,3788,Not Disclosed
UC Berkeley (Haas),73304,Not Disclosed,Not Disclosed
University of Minnesota (Carlson),73149,6736,Not Disclosed
Brigham Young University (Marriott),72808,8662,Not Disclosed
Elon University (Love),72720,6486,Not Disclosed
University of Georgia (Terry),71927,6900,92.5%
Texas A&M University (Mays),71640,9537,76.0%
Providence College,71542,10500,Not Disclosed
Seattle University (Albers),71437,Not Disclosed,Not Disclosed
Miami University (Farmer),70986,6160,98.5%
Syracuse University (Whitman),70863,6408,89.7%
Seton Hall University (Stillman),69849,11138,98.0%
Purdue University (Daniels),69212,7149,95.0%
Michigan State University (Broad),68442,5723,Not Disclosed
Marquette University,67857,Not Disclosed,99.0%
Rochester Institute of Technology (Saunders),67370,6485,Not Disclosed
University of Arizona (Eller),66650,Not Disclosed,78.0%
Kansas State University,63811,Not Disclosed,73.0%
Florida International University,62905,7128,89.8%
Duquesne University (Palumbo-Donahue),62502,2683,Not Disclosed
Texas State University (McCoy),62455,9667,Not Disclosed
University of Texas at Austin (McCombs),62298,Not Disclosed,Not Disclosed
University of Akron,61736,Not Disclosed,84.0%
University of Tennessee (Haslam),61564,5677,91.0%
Santa Clara University (Leavey),60500,Not Disclosed,Not Disclosed
Lipscomb University,60044,6000,Not Disclosed
University of Maryland (Smith),59950,Not Disclosed,Not Disclosed
Oregon State University,59400,Not Disclosed,83.0%
Penn State University (Smeal),59377,Not Disclosed,Not Disclosed
Florida Southern College (Barnett),59074,Not Disclosed,98.2%
